modelo;año;precio;transmision;kilometraje;tipo_combustible;impuesto_circulacion;mpg;tamaño_motor
 GT86;2016.0;16000.0;Manual;24089.0;Petrol;265.0;36.2;2.0
 GT86;2017.0;15995.0;Manual;18615.0;Petrol;145.0;36.2;2.0
 GT86;2015.0;13998.0;Manual;27469.0;Petrol;265.0;36.2;2.0
 GT86;2017.0;18998.0;Manual;14736.0;Petrol;150.0;36.2;2.0
 GT86;2017.0;17498.0;Manual;36284.0;Petrol;145.0;36.2;2.0
 GT86;2017.0;15998.0;Manual;26919.0;Petrol;260.0;36.2;2.0
 GT86;2017.0;18522.0;Manual;10456.0;Petrol;145.0;36.2;2.0
 GT86;2017.0;18995.0;Manual;12340.0;Petrol;145.0;36.2;2.0
 GT86;2020.0;27998.0;Manual;516.0;Petrol;150.0;33.2;2.0
 GT86;2016.0;13990.0;Manual;37999.0;Petrol;265.0;36.2;2.0
 GT86;2013.0;10495.0;Manual;72000.0;Petrol;265.0;36.2;2.0
 GT86;2017.0;17990.0;Manual;12597.0;Petrol;145.0;36.2;2.0
 GT86;2017.0;16995.0;Manual;36100.0;Petrol;145.0;36.2;2.0
 GT86;2019.0;23995.0;Manual;995.0;Petrol;145.0;33.2;2.0
 GT86;2018.0;18498.0;Manual;35228.0;Petrol;145.0;36.2;2.0
 GT86;2019.0;23980.0;Manual;1751.0;Petrol;145.0;33.2;2.0
 GT86;2017.0;17995.0;Manual;16444.0;Petrol;265.0;36.2;2.0
 GT86;2014.0;12998.0;Manual;25499.0;Petrol;260.0;36.2;2.0
 GT86;2019.0;23495.0;Automatic;3934.0;Petrol;145.0;32.8;2.0
 GT86;2019.0;25780.0;Manual;5123.0;Petrol;145.0;33.2;2.0
 GT86;2020.0;26995.0;Semi_Auto;1500.0;Petrol;145.0;32.8;2.0
 GT86;2019.0;23998.0;Semi_Auto;913.0;Petrol;145.0;32.8;2.0
 GT86;2019.0;26995.0;Manual;2680.0;Petrol;150.0;33.2;2.0
 GT86;2017.0;17000.0;Manual;14345.0;Petrol;150.0;36.2;2.0
 GT86;2018.0;19995.0;Manual;15525.0;Petrol;150.0;36.2;2.0
 GT86;2020.0;31000.0;Manual;3000.0;Petrol;145.0;33.2;2.0
 GT86;2016.0;15995.0;Semi_Auto;19460.0;Petrol;200.0;39.8;2.0
 GT86;2018.0;18490.0;Manual;31231.0;Petrol;150.0;36.2;2.0
 GT86;2020.0;24990.0;Manual;339.0;Petrol;145.0;33.2;2.0
 GT86;2015.0;13981.0;Manual;30500.0;Petrol;265.0;36.2;2.0
 GT86;2015.0;13991.0;Manual;38126.0;Petrol;260.0;36.2;2.0
 GT86;2019.0;27060.0;Automatic;3348.0;Petrol;145.0;32.8;2.0
 GT86;2018.0;20695.0;Manual;5260.0;Petrol;145.0;36.2;2.0
 GT86;2019.0;25999.0;Manual;100.0;Petrol;145.0;33.2;2.0
 GT86;2013.0;11575.0;Manual;50584.0;Petrol;265.0;36.2;2.0
 GT86;2017.0;20995.0;Manual;6445.0;Petrol;145.0;36.2;2.0
 GT86;2014.0;14999.0;Manual;18389.0;Petrol;260.0;36.2;2.0
 GT86;2019.0;27000.0;Semi_Auto;100.0;Petrol;145.0;32.8;2.0
 GT86;2016.0;15000.0;Manual;28321.0;Petrol;265.0;36.2;2.0
 GT86;2019.0;22200.0;Semi_Auto;16241.0;Petrol;145.0;32.8;2.0
 GT86;2019.0;24990.0;Manual;3150.0;Petrol;145.0;33.2;2.0
 GT86;2019.0;25995.0;Manual;8912.0;Petrol;145.0;33.2;2.0
